msa_name,industry_title,distance,COI_gain,ici,eci,h_light_ici,h_light_coi
"South Bend-Mishawaka, IN-MI",Fruit and tree nut farming,0.41688878845736993,0.6491984333866796,-1.395928563510458,0.29309379415521575,0,1
"South Bend-Mishawaka, IN-MI",Forest nursery and gathering forest products,0.0404887855623683,-3.088354671477525,3.254984644559672,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Fishing,0.2368185636768209,-0.6649273455595832,1.1412632962700355,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Hunting and trapping,0.3579284774582997,-0.8395124994717236,1.753840825271205,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Support activities for crop production,0.2821650365578598,0.8217578374626981,-1.2247115754259443,0.29309379415521575,0,1
"South Bend-Mishawaka, IN-MI",Oil and gas extraction,0.35017114516683606,0.3726233726977455,-0.5041494729842521,0.29309379415521575,0,1
"South Bend-Mishawaka, IN-MI",Support activities for mining,0.30063768394019424,0.4836368931804671,-0.7123322963426715,0.29309379415521575,0,1
"South Bend-Mishawaka, IN-MI",Natural gas distribution,0.42048547631348765,-0.1138123304021903,0.5077056237489516,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Tobacco manufacturing,0.08846517150161205,0.4488110972815278,-0.48858779820103854,0.29309379415521575,0,1
"South Bend-Mishawaka, IN-MI","Fiber, yarn, and thread mills",0.11659813987310944,-0.48887095047604134,0.6428981560044583,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Fabric mills,0.2607617858785538,-0.22969815643372016,0.4875242202674357,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Textile and fabric finishing mills,0.27877180781261013,-0.7900603017005565,1.5292879558833843,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Textile furnishings mills,0.5369715710739812,-0.4770785145654486,1.6033606403173957,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Apparel knitting mills,0.07169328246088585,-4.278936018272269,4.728420820092319,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Cut and sew apparel manufacturing,0.41511033367820516,-0.28872090838126496,0.9529595296169586,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Accessories and other apparel manufacturing,0.1432225553679454,-0.9458927027181332,1.2886979063860056,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Leather and hide tanning and finishing,0.17902627064697213,-2.009596059327073,2.652464372219047,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Footwear manufacturing,0.14704447489492606,-2.4975919368746133,3.192870709797485,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Other leather product manufacturing,0.438384873833694,-0.48063211452497256,1.36486543947122,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI","Pulp, paper, and paperboard mills",0.28403563719093056,-0.6677467153999928,1.2828086869698438,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI","Resin, rubber, and artificial fibers mfg.",0.4261874368394787,-0.148327455194611,0.4711417796457316,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Pharmaceutical and medicine manufacturing,0.4805773253871349,0,0.707145342334984,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI","Paint, coating, and adhesive manufacturing",0.5680617715316093,-0.16691032730650335,0.6694862226522721,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI","Soap, cleaning compound, and toiletry mfg.",0.996229985489685,0,1.0157996655740675,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Rubber product manufacturing,0.5262800844269512,-0.2529554295746905,0.893503279910544,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Clay product and refractory manufacturing,0.6354873169825376,-0.21211357514385298,1.342208774949824,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Glass and glass product manufacturing,0.699192626574004,-0.06848738262767284,0.9902189744954146,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Lime and gypsum product manufacturing,0.18787821370909547,-1.532170237196702,2.163167643976296,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Iron and steel mills and ferroalloy mfg.,0.3341940566967932,-0.5612999328247597,1.1878870791422977,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Steel product mfg. from purchased steel,0.4216865833564965,-0.47465119907454323,1.222098185798401,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Alumina and aluminum production,0.3418890667335861,0,1.144910232343602,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Other nonferrous metal production,0.5871571124314544,-0.2395266838589265,1.225616908958147,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Cutlery and handtool manufacturing,0.82400652263717,0.06226518903094558,1.0425806814817296,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Hardware manufacturing,0.5015745872678182,-0.7280654870271874,2.2331772997774344,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",HVAC and commercial refrigeration equipment,0.5505340871780187,-0.2002473943873042,0.7818408855107166,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Turbine and power transmission equipment mfg.,0.3332938970108226,-0.19363878775968857,0.527002906738206,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Computer and peripheral equipment mfg.,0.28414406640137824,-0.4479445521489822,0.936801898453022,0.29309379415521575,1,0
"South Bend-Mishawaka, IN-MI",Communications equipment manufacturing,0.7134704244730289,-0.04658602431916137,0.8256630841424708,0.29309379415521575,1,0
